pdbid,-logKd/Ki,SMILES
1a42,9.89,CC[NH2+][C@H]1CN(CCOCC)S(=O)(=O)c2c1cc(s2)S(=O)(=O)N
1a46,5.7,[NH3+]CCCC[C@@H]([C@@H](C(=O)NC1CCCCC1)O)NC(=O)[C@@H]1CC[N@@H+]2N1C(=O)[C@](CC2)([NH3+])Cc1ccccc1
1a4g,8.4,OC[C@H]([C@H]([C@@H]1OC(=C[C@@H]([C@H]1NC(=O)C)[NH+]=C(N)N)C(=O)O)O)O
1a4h,5.92,CO[C@H]1C[C@@H](C)CC2=C(OC)C(=O)C=C(C2=O)NC(=O)/C(=C/C=C\[C@@H]([C@H](/C(=C/[C@@H]([C@H]1O)C)/C)OC(=O)N)OC)/C
1a4k,8,OC(=O)COC(=O)N[C@]12CC[C@H](CC1)[C@@H]1[C@H]2C(=O)N(C1=O)c1ccc(cc1)NC(=O)C
1a4m,13,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc[nH]c2=O
1a4q,5.44,CCCN(C(=O)[C@@H]1OC(=C[C@@H]([C@H]1NC(=O)C)[NH3+])C(=O)O)CCc1ccccc1
1a4r,6.66,O[C@@H]1[C@@H](COP(OP(O)(O)N)(O)O)O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
1a4w,5.92,O=C(N1CCCC[C@@H]1CCC(=O)c1nccs1)[C@@H](NS(=O)(=O)c1cccc2c1cccc2N(C)C)CCC[NH+]=C(N)N
1a50,6.7,Fc1ccc2c(c1)c(CCCOP(O)(O)O)c[nH]2
1a52,9.86,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C
1a5g,10.15,NC(=[NH+]CCC[C@@H]([C@@H](C(=O)NCCc1ccccc1)O)NC(=O)[C@@H]1CC[N@@H+]2N1C(=O)[C@](CC2)([NH3+])Cc1ccccc1)N
1a5h,6.3,O=C1[C@@H](CCCC[C@H]1Cc1ccc(cc1)C(=[NH2+])N)Cc1ccc(cc1)C(=[NH2+])N
1a5v,3.1,CC(=O)Nc1cc(cc2c1c(O)cc(c2)S(=O)(=O)O)S(=O)(=O)O
1a61,8.62,O=C([C@@H]1CC[N@@H+]2N1C(=O)[C@](CC2)([NH3+])Cc1ccccc1)N[C@H]([C@@H](c1nccs1)O)CCC[NH+]=C(N)N
1a69,5.3,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)c1n[nH]c2c1nc[nH]c2=O
1a7c,4,OC[C@@H](C(=O)N[C@H](C(=O)N)CO)NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@H](O)C)NC(=O)C)C
1a7t,1.64,OS(=O)(=O)CC[NH+]1CCOCC1
1a7x,9.7,CO[C@H]1C[C@@H](C)C/C(=C/[C@@H](CCOC(=O)NCc2ccccc2)C(=O)C[C@H](O)[C@H]([C@H](OC(=O)[C@H]2N(/[C](=[C](\O)/[C@@]3(O[C@H]1[C@@H](OC)C[C@H]3C)O)/O)CCCC2)/C(=C/[C@@H]1CC[C@H]([C@@H](C1)OC)O)/C)C)/C
1a85,4.52,ONC(=O)[C@H](C(=O)N[C@H](C(=O)NCc1cccc(c1)N)CC(=O)N)CC(C)C
1a86,4,ONC(=O)[C@H](C(=O)N[C@H](C(=O)NCc1ccccc1)CC(=O)O)CC(C)C
1a8i,5.52,OC[C@H]1O[C@@]2(NC(=O)NC2=O)[C@@H]([C@H]([C@@H]1O)O)O
1a8t,5.8,CCCCc1nc2ccc(cc2c(=O)n1Cc1ccc(cc1)c1ccccc1c1nnn[nH]1)O
1a94,7.85,CCCC[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])CC(C)C)Cc1ccccc1)CCC(=O)O)C
1a99,5.7,[NH3+]CCCC[NH3+]
1a9m,6.92,NC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N)CCC[NH+]=C(N)N)NC(=O)[C@H](C(C)C)C[C@@H]([C@@H](NC(=O)C)CC1CCCCC1)O
1a9q,6.17,O=c1[nH]cnc2c1nc[nH]2
1a9u,7.32,Fc1ccc(cc1)c1nc([nH]c1c1ccncc1)c1ccc(cc1)[S@@](=O)C
1aaq,8.4,COC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC[C@@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])C)C)Cc1ccccc1)O
1abf,5.42,O[C@H]1[C@@H](C)O[C@@H]([C@@H]([C@H]1O)O)O
1abt,5.85,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)Cc1ccc(cc1)O)Cc1ccc(cc1)O)C(C)C)Cc1c[nH]c2c1cccc2)Cc1c[nH]cn1)[NH3+]
1acj,8.09,Nc1c2CCCCc2nc2c1cccc2
1ad8,6.6,C[NH2+][C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H]([C@@H](C(C(F)(F)F)(F)F)O)Cc1c[nH]c2c1cccc2)Cc1ccccc1
1add,6.74,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nccc2N
1adl,5.36,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
1ado,6,OCC(=O)COP(O)(O)O
1af2,3.1,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(=O)[nH]c1=O
1af6,1.82,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O
1afk,6.62,O[C@@H]1[C@H](OP(O)(O)O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COP(OP(O)(O)O)(O)O
1afl,6.28,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1OP(O)(O)O)n1cnc2c1ncnc2N
1ag9,9,O=c1[nH]c(=O)c2c([nH]1)n(C[C@@H]([C@@H]([C@@H](COP(O)(O)O)O)O)O)c1c([nH]2)cc(c(c1)C)C
1agm,12,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O[C@H]1O[C@H](C)[C@H]([C@@H]([C@H]1O)O)[NH2+][C@H]1C=C(CO)[C@H]([C@@H]([C@H]1O)O)O)O)O
1agw,4.7,O=CN1CCN(CC1)c1ccc(cc1)/C=C/1\C(=O)Nc2c1cccc2
1aht,6.21,OC(=O)[C@H](Cc1ccc(cc1)C(=[NH2+])N)O
1ahx,3.92,OC(=O)CCc1ccccc1
1ahy,3.36,OC(=O)/C=C\C(=O)O
1ai4,2.5,OC(=O)Cc1ccc(c(c1)O)O
1ai5,3.72,OC(=O)Cc1cccc(c1)N(=O)=O
1ai6,3.97,OC(=O)Cc1ccc(cc1)O
1ai7,4.09,Oc1ccccc1
1aid,4.82,Fc1ccc(cc1)C1(CCC[N@@H+]2CC[C@@](CC2)(O)c2ccc(cc2)Cl)SCCS1
1aj6,5.92,CO[C@@H]1[C@@H](OC(=O)N)[C@@H](O)[C@@H](OC1(C)C)Oc1ccc2c(c1C)oc(=O)c(c2O)NC(=O)c1ccc(c(c1)CC=C(C)C)O
1aj7,3.87,OC(=O)CCCCP(Oc1ccc(cc1)N(=O)=O)(O)O
1ajn,2.63,OC(=O)Cc1ccc(cc1)N(=O)=O
1ajp,2.23,OC(=O)Cc1cc(O)ccc1O
1ajq,4.31,OC(=O)Cc1cccs1
1ajv,7.72,O[C@@H]1[C@@H](O)[C@@H](COc2ccccc2)N(S(=O)(=O)N([C@@H]1COc1ccccc1)Cc1ccccc1)Cc1ccccc1
1ajx,7.91,O[C@@H]1[C@@H](O)[C@@H](COc2ccccc2)N(C(=O)N([C@@H]1COc1ccccc1)Cc1ccccc1)Cc1ccccc1
1akq,9.1,O=c1[nH]c(=O)c2c(n1)n(C[C@@H]([C@@H]([C@@H](COP(O)(O)O)O)O)O)c1c(n2)cc(c(c1)C)C
1akr,9.09,O=c1[nH]c(=O)c2c(n1)n(C[C@@H]([C@@H]([C@@H](COP(O)(O)O)O)O)O)c1c(n2)cc(c(c1)C)C
1akt,8.49,O=c1[nH]c(=O)c2c(n1)n(C[C@@H]([C@@H]([C@@H](COP(O)(O)O)O)O)O)c1c(n2)cc(c(c1)C)C
1aku,6.13,O=c1[nH]c(=O)c2c([nH]1)n(C[C@@H]([C@@H]([C@@H](COP(O)(O)O)O)O)O)c1c([nH]2)cc(c(c1)C)C
1akv,11.59,O=c1[nH]c(=O)c2c([nH]1)n(C[C@@H]([C@@H]([C@@H](COP(O)(O)O)O)O)O)c1c([nH]2)cc(c(c1)C)C
1akw,8.59,O=c1[nH]c(=O)c2c(n1)n(C[C@@H]([C@@H]([C@@H](COP(O)(O)O)O)O)O)c1c(n2)cc(c(c1)C)C
1al7,7.8,CCCCCC(Sc1[nH]nnc1C(=O)O)CCCCC
1al8,5.32,CCCCCCCCCCC1=C(O)C(=O)NC1=O
1alw,6.52,S[C@H](C(=O)O)Cc1ccccc1
1amk,4.3,OC(=O)COP(O)(O)O
1amn,13.82,FC(C(c1cccc(c1)[N+](C)(C)C)(O)O)(F)F
1amw,4.54,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1anf,5.46,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O
1ao0,4.96,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1ao8,8.22,NC1[NH+]C(=[NH+]c2c1nc(CN(c1ccc(cc1)C(=O)N[C@H](C(=O)O)CCC(=O)O)C)cn2)N
1apb,5.82,O[C@H]1[C@@H](C)O[C@H]([C@@H]([C@H]1O)O)O
1apv,9,CNC(=O)C(C([C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)CC(C)C)(O)O)(F)F
1apw,8,CNC(=O)C([C@@H]([C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)CC(C)C)O)(F)F
1aq1,8.15,C[NH2+][C@@H]1C[C@H]2O[C@]([C@@H]1OC)(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3C=NC1=O
1aq7,6.05,CC[C@H]([C@H](C(=O)N1[C@H]2C[C@@H](CC[C@H]2C[C@H]1C(=O)NCCCC[NH+]=C(N)N)OS(=O)(=O)O)NC(=O)[C@@H](Cc1ccc(cc1)O)O)C
1aqc,5.34,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)Cc1ccccc1)Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H]([C@H](O)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C[NH3+])Cc1ccc(cc1)O)CCC(=O)O)CC(=O)N)Cc1ccc(cc1)O
1aqi,5.62,OC(=O)[C@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[NH3+]
1aqj,6.47,OC(=O)[C@H](CC[C@@H](C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[NH3+])[NH3+]
1at5,4.19,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@H]([C@@H]([C@H]2O)NC(=O)C)O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1NC(=O)C)O)O)O)NC(=O)C
1at6,4.07,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@H]([C@@H]([C@H]2O)NC(=O)C)O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1NC(=O)C)O)O)O)NC(=O)C
1atl,6.28,SC[C@H](C(=O)N[C@H](C(=O)O)Cc1ccc(cc1)OC)CC(C)C
1atr,6.96,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1au0,7.66,O[C@@H](CNC(=O)[C@@H](NC(=O)OCc1ccccc1)CC(C)C)CNC(=O)[C@@H](NC(=O)OCc1ccccc1)CC(C)C
1au2,7.89,O[C@@H](CNS(=O)(=O)c1ccc(cc1)Oc1ccccc1)CNC(=O)[C@@H](NC(=O)c1ccncc1)CC(C)C
1auj,8.25,N#Cc1cccc(c1)C[C@@H](B(O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)[NH3+]
1avd,15,OC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2
1avn,3.9,C(c1cnc[nH]1)C[NH3+]
1avp,7.92,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)Cc1ccccc1)CS)CCC[NH+]=C(N)N)CCC[NH+]=C(N)N)CCC[NH+]=C(N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)C[NH3+])CCC(=O)N)CO)CC(C)C
1aw1,1.05,OC(=O)COP(O)(O)O
1awf,6.01,O=C[C@@H]([C@@H]1[C@@H](O)C[C@]2([C@@]1(C)[C@@H](O)C[C@H]1C2=CC[C@@H]2[C@]1(C)CC[C@H]([C@@]2(C)C(=O)O[C@H]1O[C@@H](CO)[C@@H]([C@H]([C@@H]1O)O)O)OC(=O)C)CO)CC(=O)C=C(C)C
1awh,6.08,OC[C@@H]([C@@H]1[C@@H](O)C[C@]2([C@@]1(C)CC[C@H]1C2=CC[C@@H]2[C@]1(C)CC[C@H]([C@@]2(C)C(=O)O)OC(=O)C)C)CC(=O)C=C(C)C
1awi,4.05,OC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCC[NH2+]1
1ax0,3.13,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@H]1O)O)NC(=O)C
1ax1,3.29,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O)O
1ax2,3.99,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@@H]([C@@H]([C@H]1O)O)O)O)NC(=O)C
1axr,3.27,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1nnc2)O
1axs,7.77,OC(=O)CCCNC(=O)c1ccc(cc1)[C@H]1CC[C@@H](C[C@@H]1O)c1ccccc1
1axz,3.2,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@H]1O)O)O
1ayu,9.15,O[C@@H]([NH2+]NC(=O)[C@@H](NC(=O)OCc1ccccc1)CC(C)C)[NH2+]NC(=O)[C@@H](NC(=O)OCc1ccccc1)CC(C)C
1ayv,8,CC(C[C@@H](C(=O)N[NH2+][C@H](c1csc(n1)[C@@H](NC(=O)OCc1ccccc1)CC(C)C)O)NC(=O)OCc1ccccc1)C
1aze,4.22,CC([C@@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCC[NH+]=C(N)N)CCC[NH+]=C(N)N)CCC[NH+]=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](C(C)C)[NH3+])C
1azg,4.8,OC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)[C@H](O)C)CCCC[NH3+])CO)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCC[NH2+]1)CCC[NH+]=C(N)N)CC(C)C)C
1azl,8.62,O=c1[nH]c(=O)c2c(n1)n(C[C@@H]([C@@H]([C@@H](COP(O)(O)O)O)O)O)c1c(n2)cc(c(c1)C)C
1azm,6.1,CC(=O)Nc1nnc(s1)S(=O)(=O)N
1azx,9.4,CO[C@@H]1[C@@H](OC)[C@H](O[C@@H]2[C@@H](COS(=O)(=O)O)O[C@@H]([C@@H]([C@H]2OS(=O)(=O)O)OS(=O)(=O)O)O[C@@H]2[C@@H](O[C@H]([C@@H]([C@H]2OC)OS(=O)(=O)O)O[C@@H]2[C@@H](COS(=O)(=O)O)O[C@@H]([C@@H]([C@H]2OS(=O)(=O)O)OS(=O)(=O)O)OC)C(=O)O)O[C@@H]([C@H]1O[C@H]1O[C@H](COS(=O)(=O)O)[C@H]([C@@H]([C@H]1OS(=O)(=O)O)OC)OC)C(=O)O
1b05,7.12,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CS)[NH3+]
1b0f,7.7,CC([C@@H]([C@@H](C(C(F)(F)F)(F)F)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](C(C)C)NC(=O)c1ccc(cc1)C(=O)N1CCOCC1)C
1b0h,6.7,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])Cc1cccc2c1cccc2)[NH3+]
1b11,7.39,OC[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C)Cc1ccccc1
1b1h,7.03,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCc1ccccc1)[NH3+]
1b2h,4.54,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCC[NH3+])[NH3+]
1b2i,5.51,[NH3+]C[C@@H]1CC[C@H](CC1)C(=O)O
1b2m,3.73,OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(O)O)O)n1cnc2c1nc(N)[nH]c2=O
1b32,7.1,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCSC)[NH3+]
1b38,6.6,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1b39,6.92,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1b3f,6.89,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])Cc1[nH]cnc1)[NH3+]
1b3g,6.7,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])[C@H](CC)C)[NH3+]
1b3h,6.21,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC1CCCCC1)[NH3+]
1b3l,5.89,[NH3+]CCCC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)O)CCCC[NH3+])[NH3+]
1b40,7.28,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])Cc1ccccc1)[NH3+]
1b42,4.01,C[n+]1cnc2c(c1N)nc[nH]2
1b46,5.28,[NH3+]CCCC[C@@H](C(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCC[NH3+])[NH3+]
1b4d,4.81,OC[C@H]1O[C@](NC(=O)OC)(C(=O)N)[C@@H]([C@H]([C@@H]1O)O)O
1b4h,5.46,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC[NH3+])[NH3+]
1b4z,5.23,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC(=O)O)[NH3+]
1b51,7.37,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CO)[NH3+]
1b52,7.12,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])[C@H](O)C)[NH3+]
1b55,7.4,O[C@@H]1[C@H](OP(O)(O)O)[C@@H](OP(O)(O)O)[C@@H]([C@H]([C@@H]1OP(O)(O)O)O)OP(O)(O)O
1b56,6.1,CCCCCCCCCCCCCCCC(=O)O
1b57,8,ONC(=O)COP(O)(O)O
1b58,6.59,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])Cc1ccc(cc1)O)[NH3+]
1b5g,8,NC(=[NH+]CCC[C@@H]([C@@H](c1nc2c(s1)cccc2)O)NC(=O)[C@@H]1CC[C@H]2N1C(=O)[C@@](CC2)([NH3+])Cc1ccccc1)N
1b5h,6.01,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])C[NH3+])[NH3+]
1b5i,7.05,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC(=O)N)[NH3+]
1b5j,7.43,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCC(=O)N)[NH3+]
1b6h,7.82,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCC)[NH3+]
1b6j,7.92,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N)C(C)C)NC(=O)[C@@H]1CCC[N@H+]1C[C@@H]([C@H]1NC(=O)[C@H](CC(=O)N)NC(=O)CCCOc2ccc(C1)cc2)O)C
1b6k,8.74,CC[C@@H]([C@@H]1NC(=O)[C@@H]([NH2+]C[C@H]([C@@H](NC(=O)[C@@H](N2CCCC2=O)C(C)C)Cc2ccc(cc2)O)O)Cc2ccc(OCCCNC1=O)cc2)C
1b6l,8.3,NC(=O)C[C@@H]1NC(=O)CCCOc2ccc(C[C@H](NC1=O)[C@@H](C[N@@H+]1CCCC[C@H]1C(=O)NC(C)(C)C)O)cc2
1b6m,8.4,CC[C@@H]([C@@H]1NC(=O)[C@@H]([NH2+]C[C@H]([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)O)Cc2ccc(OCCCNC1=O)cc2)C
1b6p,8.52,CCC(=O)N[C@H](C(=O)N[C@H]([C@@H](C[NH2+][C@H]1Cc2ccc(cc2)OCCCNC(=O)[C@@H](NC1=O)[C@H](CC)C)O)Cc1ccc(cc1)O)C(C)C
1b74,1.3,NC(=O)CC[C@H](C(=O)O)[NH3+]
1b7h,8.02,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CCCC)[NH3+]
1b8n,10.52,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc(N)[nH]c2=O
1b8o,10.64,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc[nH]c2=O
1b8y,7.85,OC(=O)CNS(=O)(=O)c1ccc(cc1)N1CCC(CC1)c1ccccc1
1b9j,5.96,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])CC(C)C)[NH3+]
1b9s,3.18,CCC(C(=O)Nc1cc(ccc1NC(=O)C)C(=O)O)CC
1b9t,5.1,OCC1(CO)CCC(=O)N1c1ccc(cc1[NH+]=C(N)N)C(=O)O
1b9v,3.65,CCC(Nc1cc(ccc1N1C(=O)CCC1(CO)CO)C(=O)O)CC
1ba8,9,OC[C@@H](NC(=O)CN1CCC[C@@H](C1=O)NS(=O)(=O)Cc1ccccc1)CCC[NH+]=C(N)N
